Name_place,Typt,district,Latitude,Longitude,population,Image_URL
Blue Lagoon ภูผาม่าน,ธรรมชาติ,ภูผาม่าน,16.7,101.9,23157,https://cms.dmpcdn.com/travel/2023/08/18/4a784470-3d83-11ee-a759-5132ccf109d5_webp_original.webp
Khonkaen Exotic Pets & The Fountain Show,สวนสัตว์,เมืองขอนแก่น,16.4322,102.8236,415594,https://ddq1mzvkg4fn7.cloudfront.net/2022/12/-------5.jpg
Skywalk ภูแอ่นโนนสัง,ธรรมชาติ,อุบลรัตน์,16.6,102.6,44454,https://s359.kapook.com/pagebuilder/3eab5521-19c1-4b44-9c9c-8b6715cc3bf8.jpg
Vacca Italian Restaurant ,ร้านอาหาร,เมืองขอนแก่น,16.4322,102.8236,415594,https://github.com/cholthicha61/Picture/blob/main/vacca.jpg?raw=true
ครัวสุพรรณิการ์ บาย คุณยายสมศรี,ร้านอาหาร,เมืองขอนแก่น,16.4322,102.8236,415594,https://github.com/cholthicha61/Picture/blob/main/%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%AA%E0%B8%B8%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%93.jpg?raw=true
คุณแจง ก๋วยเตี๋ยวปากหม้อเข้าวัง,ร้านอาหาร,เมืองขอนแก่น,16.4322,102.8236,415594,https://cms.dmpcdn.com/food/2022/11/20/c3cf1190-68aa-11ed-a96e-7558882943a6_webp_original.jpg
จุดชมวิวหนองสมอ,ธรรมชาติ,ภูผาม่าน,16.7,102.5,23157,https://f.ptcdn.info/450/082/000/s4pvdk33ojO8X0op1Joq-s.jpg
จุดชมวิวหินช้างสี,ธรรมชาติ,บ้านฝาง ,16.7,102.6,55015,https://cms.dmpcdn.com/travel/2020/08/14/e8acb4a0-ddf5-11ea-a0b4-232d08119930_original.jpg
ตลาดต้นตาล,แหล่งช็อปปิ้ง,เมืองขอนแก่น,16.4322,102.8236,415594,https://www.chillpainai.com/src/wewakeup/img_travel/521/1.jpg
เทวาลัยศิวะมหาเทพ ,วัด,เมืองขอนแก่น,16.4322,102.8236,415594,https://cms.dmpcdn.com/travel/2021/11/14/c658c860-4520-11ec-99d2-afc4b19f1d2d_webp_original.jpg
น้ำตกตาดใหญ่,ธรรมชาติ,ภูผาม่าน,16.5,102.4,23157,https://cms.dmpcdn.com/travel/2021/10/05/ee38b300-2599-11ec-a2cd-2bce71de25ff_webp_original.jpg
น้ำผุดตาดเต่า,ธรรมชาติ,ภูผาม่าน,16.6,102.5,23157,https://img.wongnai.com/p/1920x0/2019/03/24/91fcfb6570f54a8181c8a48e0091fdf8.jpg
บ้านเฮง,ร้านอาหาร,เมืองขอนแก่น,16.4322,102.8236,415594,https://cms.dmpcdn.com/food/2022/11/20/c177b410-68aa-11ed-a2bb-a746d8e7fa5b_webp_original.jpg 
ประไพร,ร้านอาหาร,เมืองขอนแก่น,16.4322,102.8236,415594,https://cms.dmpcdn.com/food/2022/11/20/c5ad9590-68aa-11ed-8dbc-ebd76eb072ba_webp_original.jpg
ประสิทธิ์โภชนา,ร้านอาหาร,เมืองขอนแก่น,16.4322,102.8236,415594,https://cms.dmpcdn.com/food/2022/11/20/c5f54cf0-68aa-11ed-8833-f94aea2d7714_webp_original.jpg
ป่าสนดงลาน,ธรรมชาติ,ชุมแพ,16.6,102.4,123802,https://s.isanook.com/tr/0/ud/283/1416553/htrjyjy.jpg
เปิดท้ายหอกาญ,แหล่งช็อปปิ้ง,เมืองขอนแก่น,16.4322,102.8236,415594,https://kkdata.khonkaenlink.info/wp-content/uploads/2024/01/2022-06-21_07-36-56_877220.jpg
ผาชมตะวัน,ธรรมชาติ,เวียงเก่า,16.5,102.5,20004,https://framerusercontent.com/images/PSGhbeWqgz7T3BLwv9dhM9tI.webp
พระธาตุขามแก่น,วัด,น้ำพอง,16.3735,102.8463,113729,https://old.khonkaenlink.info/home/upload/photo/news/7Sin5Hxg.jpg
พระมหาธาตุแก่นนคร (วัดหนองแวง),วัด,เมืองขอนแก่น,16.4208,102.8369,415594,https://cms.dmpcdn.com/travel/2022/12/21/b1f64700-80fa-11ed-8433-93895adf0d79_webp_original.jpg
ล่องแก่งผาเทวดา,ธรรมชาติ,ภูผาม่าน,16.7,102.6,23157,https://img.wongnai.com/p/1920x0/2018/04/11/eee70fdc62bf4e53b92e397390bee518.jpg
วัดแก้วจักรพรรดิสิริสุทธาวาส,วัด,ภูเวียง,16.5,102.6,71940,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRA22iW3zHqp4YK9-KzG_7J_2jjirX2pe7PnA&s
วัดถ้ำผาเกิ้ง,วัด,เวียงเก่า,16.6,102.4,20004,https://www.watportal.com/th/file/get/file/20181220e94775894e736a8fbf1954e4a1a6e80f150823.jpg
วัดถ้ำแสงธรรม,วัด,สีชมพู,16.5,102.5,77553,https://cms.dmpcdn.com/travel/2022/05/31/d6b57a20-e091-11ec-8d9d-1ffa639e91b5_webp_original.jpg
วัดทุ่งเศรษฐี,วัด,เมืองขอนแก่น,16.37,102.81,415594,https://cms.dmpcdn.com/travel/2020/08/27/4ab66060-e82d-11ea-bb87-1de8b370574f_original.jpg
วัดป่าแสงอรุณ,วัด,เมืองขอนแก่น,16.45,102.85,415594,https://cms.dmpcdn.com/travel/2022/11/03/4f8a4650-5b40-11ed-920c-15a7af32e299_webp_original.jpg
ศาลหลักเมือง,วัด,เมืองขอนแก่น,16.431,102.835,415594,https://www.misterlees.com/wp-content/uploads/2013/08/MG_6940.jpg
สวนสัตว์ขอนแก่น,สวนสัตว์,เขาสวนกวาง,16.4,102.8,38203,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQrGg8sKUwY6tWxdtkIgyFSd1Y3pvsZiOt4A&s
สีนานวล คาเฟ่,ร้านอาหาร,เมืองขอนแก่น,16.4322,102.8236,415594,https://github.com/cholthicha61/Picture/blob/main/%E0%B8%AA%E0%B8%B5%E0%B8%99%E0%B8%B2%E0%B8%99%E0%B8%A7%E0%B8%A5.jpg?raw=true
